District,Fresh,Renewal,Total Eligible Accounts,Total Disburse Amt,Total Outstanding Amt
Baksa,2200,260,2460,3170,3250
Barpeta,2460,240,2700,3410,3480
Biswanath,2100,1420,3520,4440,4540
Bongaigaon,1450,1220,2670,3440,3520
Cachar,2150,250,2400,2960,3030
Charaideo,1300,1060,2360,2990,3070
Chirang,1200,3100,4300,5410,5540
Darrang,1865,685,2550,3160,3220
Dhemaji,2100,3120,5220,6670,6830
Dhubri,1600,250,1850,2330,2380
Dibrugarh,2300,1710,4010,5040,5160
Dima Hasao,708,412,1120,1270,1300
Goalpara,1607,943,2550,3210,3280
Golaghat,2004,1716,3720,4760,4870
Hailakandi,1378,802,2180,2760,2820
Hojai,1501,559,2060,2650,2710
Jorhat,1900,2940,4840,6180,6330
Kamrup Metro,3590,250,3840,4810,4930
Karbi Anglong,1562,1358,2920,3390,3470
Karimganj,1430,250,1680,2070,2120
Kokrajhar,1800,1650,3450,4270,4370
Lakhimpur,2420,40,2460,3160,3230
Majuli,878,1022,1900,2370,2420
Morigaon,2056,594,2650,3350,3420
Nagaon,4110,3950,8060,10160,10390
Nalbari,2033,1827,3860,4790,4900
Sivasagar,1270,850,2120,2760,2820
Sonitpur,1900,2690,4590,5810,5950
South Salmara,850,250,1100,1320,1360
Tinsukia,2354,2096,4450,5600,5740
Udalguri,2220,1500,3720,4590,4700
West Karbi Anglong,1200,1060,2260,2600,2690
