district,sum_of_cummul_ative_any_other_reason,sum_of_cummul_ative_applicant_in_default_npa,sum_of_cummul_ative_applicati_on_for_purpose_of_cattle,sum_of_cummul_ative_no_of_applicati_ons_accepted,sum_of_cummul_ative_no_of_applicati_ons_received,sum_of_cummul_ative_no_of_applicati_ons_sanction_ed,sum_of_cummul_ative_not_a_member_of_pacs,sum_of_cummulat_ive_already_having_kcc_with_some_other_bank,sum_of_cummulati_ve_second_application_submitted_for_same_othe_r_reasons,sum_of_cummulativ_e_already_availed_loan_for_same_purpose_from_other_banks,sum_of_cummulativ_e_milch_animal_in_possesion_no_space_available_for_cattle_shed,sum_of_cummulativ_e_tpa_not_furnished_collection_account_is_in_other_bank,sum_of_cummulativ_e_wrong_incomplete_information_furnished,sum_of_cummulative_appplicant_i_not_tracable_ii_unwilling_to_avail_iii_unaware_about_the_submission_of_application,sum_of_cummulative_members_of_the_family_applying_for_kcc_against_same_milch_animal,sum_of_pendency_more_than_15_days
Alipurduar,0.0,293.0,0.0,2327.0,2327.0,1504.0,0.0,239.0,0.0,23.0,268.0,0.0,0.0,0.0,0.0,0.0
Bankura,0.0,5.0,0.0,171.0,171.0,165.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Birbhum,70.0,1616.0,19.0,4805.0,4805.0,2157.0,6.0,267.0,0.0,106.0,503.0,2.0,0.0,59.0,0.0,0.0
Dakshin Dinajpur,13.0,193.0,3.0,1229.0,1229.0,398.0,0.0,0.0,0.0,14.0,527.0,0.0,0.0,81.0,0.0,0.0
Jalpaiguri,15.0,201.0,0.0,1136.0,1136.0,387.0,485.0,0.0,0.0,0.0,20.0,0.0,28.0,0.0,0.0,0.0
Jhargram,299.0,176.0,14.0,1181.0,1181.0,477.0,2.0,37.0,0.0,4.0,130.0,3.0,0.0,38.0,1.0,0.0
Kalimpong,0.0,237.0,5.0,1122.0,1122.0,683.0,28.0,101.0,0.0,55.0,9.0,0.0,0.0,4.0,0.0,0.0
Kolkata,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Malda,0.0,23.0,0.0,105.0,105.0,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Murshidabad,3.0,157.0,0.0,994.0,994.0,253.0,4.0,46.0,0.0,1.0,24.0,0.0,503.0,1.0,2.0,0.0
Nadia,37.0,1111.0,849.0,7470.0,7470.0,1864.0,137.0,560.0,5.0,10.0,1322.0,0.0,519.0,820.0,236.0,0.0
Paschim Medinipur,85.0,351.0,0.0,2134.0,2134.0,1082.0,51.0,136.0,0.0,0.0,375.0,46.0,8.0,0.0,0.0,0.0
Purba Medinipur,5.0,467.0,386.0,2404.0,2404.0,865.0,0.0,241.0,0.0,115.0,248.0,0.0,0.0,77.0,0.0,0.0
Uttar Dinajpur,41.0,66.0,0.0,557.0,557.0,225.0,0.0,35.0,0.0,0.0,70.0,0.0,59.0,61.0,0.0,0.0
